regime,repeat,dataset_source,n_samples,r2,rmse,mae,pearson,spearman
scaffold,3,CTRP,81797,0.1360941285473211,0.1737447861632935,0.130288813529137,0.3726708548793598,0.3541612230582364
scaffold,3,GDSC,53229,0.0185775339891391,0.1943674683264578,0.1415467226026039,0.2450615157012644,0.3094615911253329
scaffold,4,CCLE,2567,-0.1126427083890442,0.2602929929428834,0.1932356719563972,0.4447855693463762,0.4527957273729419
scaffold,4,CTRP,84704,0.1414076912237439,0.1809366018809861,0.1376144598163298,0.3947612487300267,0.2837878911096932
scaffold,4,GDSC,47437,0.1564571086363224,0.1746366130366015,0.1262909042490411,0.4234359668941056,0.3254773815648875
scaffold,5,CCLE,3156,-0.1397136559277758,0.2722745885879346,0.2236285286046214,-0.0610424758978016,-0.099883320530929
scaffold,5,CTRP,87237,0.1432037881650313,0.1849710417191312,0.1347211607716749,0.4047767774456468,0.4111265562270745
scaffold,5,GDSC,56145,0.0754184932636534,0.1844064899380039,0.1309210263520992,0.2906968537294424,0.2597272915543679
pathway,1,GDSC,45388,0.0127511718098878,0.1613990612554793,0.1253608369640505,0.219254416394181,0.0820072626045135
pathway,2,GDSC,30110,-0.0514075623827305,0.148284931788232,0.1150596620272736,0.0717667009748108,0.0734533201485285
pathway,3,GDSC,32471,0.0793775017718404,0.2128023077779093,0.1562774650349126,0.3186859556309531,0.3981612807324073
pathway,4,GDSC,102090,-0.04120314335745956,0.16119383489004063,0.12735419838850545,0.12119201167168725,0.07179268743204345
pathway,5,GDSC,39362,-0.007112484701001565,0.21622563823654664,0.15139959012446508,0.2872506177248322,0.31080179304078065
target,1,CCLE,3637,0.047581141309707586,0.21679979022184465,0.17352393571866223,0.3122120375715062,0.15776994465673336
target,1,CTRP,78481,0.14667450046522634,0.18063075959182878,0.1330887632097798,0.40063078984722167,0.3091066030075648
target,1,GDSC,47285,0.04499151307646432,0.1828528781388773,0.13312395723352013,0.26624212576652306,0.19447669827019706
target,2,CCLE,1429,0.24151553579567075,0.26630522136585794,0.21609752406063923,0.7090590747508924,0.6083048935069896
target,2,CTRP,103092,0.0796337621393205,0.1844085439190789,0.13337315404844313,0.30946174410532845,0.24344546880218393
target,2,GDSC,48556,0.03253026414160376,0.18543361673073513,0.1348963721346827,0.2780709321722303,0.2897683878344144
