DRUG_NAME,n_samples,r2,rmse,mae,pearson,spearman
MIM1,667,-0.11724176709635836,0.09524647115933647,0.07351508307155855,0.4112814332625889,0.40933429546757616
AZD8186,676,-0.12615166240120712,0.10234100820586096,0.08051718258107202,0.05415956423985615,-0.00800754016902334
GW-843682X,872,-0.13372822644530324,0.16434716644857905,0.13425715759412254,0.6143010169235745,0.6125497192539343
NVP-231,936,-0.14426701444141754,0.1149833092289958,0.0900509887016669,0.6135252585668582,0.6277510085244965
compound 1B,886,-0.14973015887205166,0.14233398855887075,0.10113641499448489,-0.03609313243732137,0.018342798507429224
PF-750,834,-0.15842517162774694,0.09591843190238043,0.07021785729215566,0.24782743996826673,0.3108308856210111
selumetinib:JQ-1 (4:1 mol/mol),923,-0.15880990294582675,0.20312594012835253,0.1612026779512054,0.599419289037824,0.629603308632046
bafilomycin A1,89,-0.17961897638600255,0.13642158949091898,0.11030589114703615,0.20255350441714415,0.22002136543170603
AZD1480,1119,-0.19171705590442256,0.12715220071305228,0.10810298818912951,0.572823979252087,0.5728906492356155
methylstat,671,-0.2086838149359458,0.10257085910519859,0.08152007194451442,0.5199474371257463,0.5341197554063734
neuronal differentiation inducer III,946,-0.2107432657129913,0.11328579551488575,0.09000992681804196,0.5092661447197795,0.5314519816756575
Dyrk1b_0191,676,-0.2506586727665989,0.09709440499310985,0.07960818925614895,-0.006812981986315289,-0.11524362519022216
GDC-0879,920,-0.2580592567254887,0.12197696698785616,0.09516677340328969,0.08684824524988116,0.18324048690901953
ISOX:bortezomib (250:1 mol/mol),896,-0.26826396283437126,0.08593284881256523,0.0681128101740105,0.5081395686681952,0.5261259443556499
AZ-3146,907,-0.2847137051868198,0.11934766184013094,0.09732233003091652,0.48846219073596897,0.48434713460701395
OSI-027,1624,-0.30856650357063664,0.21901287674999478,0.1517316116059482,0.17722908967339596,0.2560065740993751
serdemetan:SCH-529074 (1:1 mol/mol),922,-0.3587812497302918,0.0961752554761514,0.08123282982849098,0.47479105946158967,0.4886953483667304
neratinib,951,-0.3834882464899969,0.18636968698406503,0.1390894918625823,0.4885727893516232,0.55016559217587
CCT036477,934,-0.38366603069933713,0.08184353189296864,0.06813121445509768,0.5269013559855441,0.4944461721557318
HG6-64-1,657,-0.39731452884824914,0.20751875302825665,0.15639214182300074,0.39202123187485344,0.23834017888963513
YL54,864,-0.3988950618615412,0.07226790554456304,0.05611857914475956,0.1757523879699569,0.19683253623767483
myriocin,227,-0.40364382001030186,0.12525365717814532,0.09687744922941358,-0.0069977992919797675,0.021774979454649308
BRD-K48334597,249,-0.4098073176169985,0.07455497210625117,0.05561868668188908,0.316056815636904,0.3664518320538263
HC-067047,904,-0.4195223539159676,0.07813405809340455,0.06253009595962432,0.2700787704386266,0.27543933838116147
PF-00299804,677,-0.4302059552180444,0.17968577778142153,0.12607100787892192,0.38842645556646255,0.4112043165464287
Dactolisib,678,-0.4403251842531015,0.19051287947789128,0.14007095861274585,0.07420240956240799,0.0923415700952899
RAF265,1168,-0.4419731051972313,0.1787496995451931,0.14138368356045708,0.37720961198677594,0.31632610459110894
oligomycin A,945,-0.450163087275921,0.32507311181633325,0.26574029257278964,0.3904020967370826,0.4391200987436033
I-BET-151,661,-0.4873492090645246,0.18297405773687936,0.13599308711666275,0.39794394351573714,0.34269419365652604
GSK-3 inhibitor IX,914,-0.5067880880356894,0.13967079755750617,0.11493984044977576,0.4982520161330014,0.43094310098670674
GSK429286A,678,-0.5173225248804076,0.0903156310564579,0.07814210961642307,0.41095230975182084,0.3211123325612386
ARRY-520,669,-0.523959670025897,0.3132541173647426,0.2449238446784483,0.5135577783841866,0.5164420023794389
TAK-715,679,-0.5240523130341648,0.07483059937054763,0.06640622634550046,0.48972317641757934,0.4026920349640325
tipifarnib-P2,507,-0.5562782951151541,0.2016515799077045,0.15180685698862448,0.6447482831622904,0.6099552343590624
CHM-1,945,-0.5820863017197628,0.143380211367738,0.1222110742427168,0.6101629735596925,0.6506261683905173
CCT245467,680,-0.6040216314625375,0.07851335155576952,0.0660954332892474,0.12303349835599882,0.11768972857455283
QW-BI-011,248,-0.6269779406266793,0.08235180107201051,0.07086451271157782,0.5098378859577805,0.3679016249998167
QL-XII-61,319,-0.6967750456401995,0.08332486358020534,0.0764050715035585,0.4445394305765282,0.25198142781096583
VER-155008,949,-0.7135514677861077,0.10418277297542958,0.0833757005703712,0.3643656273706949,0.35277954620470614
vorapaxar,923,-0.7385546027683008,0.09404812595661621,0.07751353157118414,0.296878506112556,0.3241111027808508
